track_name,artist,album,release_date,popularity,spotify_url,id,duration_min
Blinding Lights,The Weeknd,Blinding Lights,2020-09-11,63,https://open.spotify.com/track/6qYkmqFsXbj8CQjAdbYz07,6qYkmqFsXbj8CQjAdbYz07,3.3340833333333335
Jalebi Baby (Tesher x Jason Derulo),Tesher,Jalebi Baby (Tesher x Jason Derulo),2021-05-28,68,https://open.spotify.com/track/6FvSS3Goz7OC8oCC2eWqe8,6FvSS3Goz7OC8oCC2eWqe8,2.8192333333333335
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,83,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,2.634
Despacito,Luis Fonsi,VIDA,2019-02-01,82,https://open.spotify.com/track/6habFhsOp2NvshLv26DqMb,6habFhsOp2NvshLv26DqMb,3.8226666666666667
Sorry,Justin Bieber,Purpose (Deluxe),2015-11-13,86,https://open.spotify.com/track/09CtPGIpYB4BrO8qb1RGsF,09CtPGIpYB4BrO8qb1RGsF,3.346433333333333
Die For You,The Weeknd,Starboy,2016-11-25,81,https://open.spotify.com/track/2Ch7LmS7r2Gy2kc64wv3Bz,2Ch7LmS7r2Gy2kc64wv3Bz,4.337533333333333
No Lie,Sean Paul,Mad Love The Prequel,2018-06-29,84,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA,48QmG1dfvMuYLxMPt7KSRA,3.6862666666666666
Mockingbird,Eminem,Encore (Deluxe Version),2004-11-12,87,https://open.spotify.com/track/561jH07mF1jHuk7KlaeF0s,561jH07mF1jHuk7KlaeF0s,4.179333333333333
Ransom,Lil Tecca,We Love You Tecca,2019-08-30,87,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,1lOe9qE0vR9zwWQAOk6CoO,2.187333333333333
Lover,Taylor Swift,Lover,2019-08-23,86,https://open.spotify.com/track/1dGr1c8CrMLDpV6mPbImSI,1dGr1c8CrMLDpV6mPbImSI,3.6884333333333332
Save Your Tears,The Weeknd,After Hours,2020-03-20,87,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g,5QO79kh1waicV47BqGRL3g,3.5937666666666668
On The Floor,Jennifer Lopez,Love?,2011-04-29,83,https://open.spotify.com/track/3C0nOe05EIt1390bVABLyN,3C0nOe05EIt1390bVABLyN,4.747766666666666
Diet Mountain Dew,Lana Del Rey,Born To Die - The Paradise Edition,2012-01-01,79,https://open.spotify.com/track/2vtmY2mSccRzKGjtcHSzI3,2vtmY2mSccRzKGjtcHSzI3,3.715333333333333
Harleys In Hawaii,Katy Perry,Harleys In Hawaii,2019-10-16,72,https://open.spotify.com/track/5nCthAh3jt4xKuLJAifAaR,5nCthAh3jt4xKuLJAifAaR,3.0969166666666665
"Taki Taki (with Selena Gomez, Ozuna & Cardi B),DJ Snake,""Taki Taki (with Selena Gomez, Ozuna & Cardi B)"",2018-09-28,73,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,3.5416666666666665"
One Dance,Drake,Views,2016-05-06,62,https://open.spotify.com/track/5ZKG94fnjiuMH5yrC5S9lS,5ZKG94fnjiuMH5yrC5S9lS,2.89955
Counting Stars,OneRepublic,Native,2013-01-01,88,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1,2tpWsVSb9UEmDRxAl1zhX1,4.28775
lovely (with Khalid),Billie Eilish,lovely (with Khalid),2018-04-19,89,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,0u2P5u6lvoDfwTYjAADbn4,3.3364166666666666
Reminder,The Weeknd,Starboy,2016-11-25,84,https://open.spotify.com/track/37F0uwRSrdzkBiuj0D5UHI,37F0uwRSrdzkBiuj0D5UHI,3.648
Without Me,Eminem,The Eminem Show,2002-05-26,89,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,7lQ8MOhq6IN2w8EYcFNSUk,4.838666666666667
Cruel Summer,Taylor Swift,Lover,2019-08-23,90,https://open.spotify.com/track/1BxfuPKGuaTgP7aM0Bbdwr,1BxfuPKGuaTgP7aM0Bbdwr,2.9737666666666667
The Nights,Avicii,The Days / Nights,2014-01-01,86,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc,0ct6r3EGTcMLPtrXHDvVjc,2.9443
Animals,Maroon 5,V (Asia Tour Edition),2015-05-18,74,https://open.spotify.com/track/3h4T9Bg8OVSUYa6danHeH5,3h4T9Bg8OVSUYa6danHeH5,3.850216666666667
After Hours,The Weeknd,After Hours,2020-03-20,83,https://open.spotify.com/track/2p8IUWQDrpjuFltbdgLOag,2p8IUWQDrpjuFltbdgLOag,6.0171
Sunsetz,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,69,https://open.spotify.com/track/0SpkyS1Q4MD8GaVcP5YjT4,0SpkyS1Q4MD8GaVcP5YjT4,3.5858333333333334
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,2023-05-19,86,https://open.spotify.com/track/6GGtHZgBycCgGBUhZo81xe,6GGtHZgBycCgGBUhZo81xe,3.4859333333333336
Memories,Maroon 5,JORDI (Deluxe),2021-06-11,85,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI,4cktbXiXOapiLBMprHFErI,3.1581
Blank Space,Taylor Swift,1989 (Deluxe),2014-01-01,83,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g,1u8c2t2Cy7UBoG4ArRcF5g,3.863766666666667
Bones,Imagine Dragons,Bones,2022-03-11,77,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,0HqZX76SFLDz2aW8aiqi7G,2.7544
K.,Cigarettes After Sex,K.,2016-11-15,41,https://open.spotify.com/track/3Mlhgm39yBpuCwyZB8d8Md,3Mlhgm39yBpuCwyZB8d8Md,5.326
Danza Kuduro,Don Omar,Meet The Orphans,2010-01-01,79,https://open.spotify.com/track/6DXLO8LndZMVOHM0wNbpzg,6DXLO8LndZMVOHM0wNbpzg,3.3131
Ghost,Justin Bieber,Justice,2021-03-19,85,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G,6I3mqTwhRpn34SLVafSH7G,2.553166666666667
Circles,Post Malone,Hollywood's Bleeding,2019-09-06,87,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb,3.588
Thunder,Imagine Dragons,Evolve,2017-06-23,86,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,1zB4vmk8tFRmM9UULNzbLB,3.1191
Cry,Cigarettes After Sex,Cry,2019-10-25,75,https://open.spotify.com/track/3p4hRhMcb6ch8OLtATMaLw,3p4hRhMcb6ch8OLtATMaLw,4.279983333333333
God's Plan,Drake,Scorpion,2018-06-29,84,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,6DCZcSspjsKoFjzjrWoCdn,3.3162166666666666
Young And Beautiful,Lana Del Rey,Young And Beautiful,2013-01-01,88,https://open.spotify.com/track/2nMeu6UenVvwUktBCpLMK9,2nMeu6UenVvwUktBCpLMK9,3.9342166666666665
"Call Out My Name,The Weeknd,""My Dear Melancholy,"",2018-03-30,86,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN,09mEdoA6zrmBPgTEN5qXmN,3.806216666666667"
Demons,Imagine Dragons,Night Visions,2012-09-04,85,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR,5qaEfEh1AtSdrdrByCP7qR,2.9584333333333332
Hurts So Good,Astrid S,Astrid S,2016-05-20,70,https://open.spotify.com/track/46ydq5g3k17iLJs3qMDvO6,46ydq5g3k17iLJs3qMDvO6,3.4788
One Love,Blue,One Love,2002,67,https://open.spotify.com/track/2W5acFzXf5FrktecuD30Or,2W5acFzXf5FrktecuD30Or,3.4531
The Hills,The Weeknd,Beauty Behind The Madness,2015-08-28,87,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB,7fBv7CLKzipRk6EC6TWHOB,4.03755
Arcade,Duncan Laurence,Arcade,2019-03-07,77,https://open.spotify.com/track/1Xi84slp6FryDSCbzq4UCD,1Xi84slp6FryDSCbzq4UCD,3.0604
Love Yourself,Justin Bieber,Purpose (Deluxe),2015-11-13,86,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0,50kpGaPAhYJ3sGmk6vplg0,3.8953333333333333
Hope,XXXTENTACION,?,2018-03-16,84,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah,2ZRo7axmMPeSVUvDbGkJah,1.8481
Elastic Heart,Sia,1000 Forms Of Fear,2014-07-04,81,https://open.spotify.com/track/6kwAbEjseqBob48jCus7Sz,6kwAbEjseqBob48jCus7Sz,4.286666666666667
"Hips Don't Lie (feat. Wyclef Jean),Shakira,""Oral Fixation, Vol. 2 (Expanded Edition)"",2005-11-28,88,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V,3.6348833333333332"
Summer Love,Justin Timberlake,FutureSex/LoveSounds,2006-09-12,71,https://open.spotify.com/track/1MBM7CyZbwJpVbbZJnHHRg,1MBM7CyZbwJpVbbZJnHHRg,4.216216666666667
